Message,Category,cleaned_message
Your OTP is 845682. Do not share it with anyone.,Transactional,your otp is 845682 do not share it with anyone
Limited time offer! Visit https://secure.bankportal.in/login to grab your discount,Promotional,limited time offer visit httpssecurebankportalinlogin to grab your discount
Introducing our new range. Learn more: https://bluedart.com/track,Promotional,introducing our new range learn more httpsbluedartcomtrack
You're selected! Redeem your reward at https://fakewebsite.com,Spam,youre selected redeem your reward at httpsfakewebsitecom
Your payment of ₹6629 was successful.,Transactional,your payment of 6629 was successful
Your transaction ID is TXN871146. Please keep it for your records.,Transactional,your transaction id is txn871146 please keep it for your records
Your package with tracking ID 470674 has been shipped.,Transactional,your package with tracking id 470674 has been shipped
Your OTP is 849054. Do not share it with anyone.,Transactional,your otp is 849054 do not share it with anyone
Your OTP is 552666. Do not share it with anyone.,Transactional,your otp is 552666 do not share it with anyone
Track your shipment here: https://merchant-site.com/receipt,Transactional,track your shipment here httpsmerchantsitecomreceipt
Your package with tracking ID 910094 has been shipped.,Transactional,your package with tracking id 910094 has been shipped
Your package with tracking ID 558536 has been shipped.,Transactional,your package with tracking id 558536 has been shipped
Your transaction ID is TXN749880. Please keep it for your records.,Transactional,your transaction id is txn749880 please keep it for your records
Get free recharge. Click here: https://login-now-security.xyz,Spam,get free recharge click here httpsloginnowsecurityxyz
Your payment of ₹1606 was successful.,Transactional,your payment of 1606 was successful
Your package with tracking ID 734792 has been shipped.,Transactional,your package with tracking id 734792 has been shipped
Your package with tracking ID 606984 has been shipped.,Transactional,your package with tracking id 606984 has been shipped
Your transaction ID is TXN320887. Please keep it for your records.,Transactional,your transaction id is txn320887 please keep it for your records
Reset your password now at https://iphone14winner.com,Spam,reset your password now at httpsiphone14winnercom
Your OTP is 654188. Do not share it with anyone.,Transactional,your otp is 654188 do not share it with anyone
Your package with tracking ID 182770 has been shipped.,Transactional,your package with tracking id 182770 has been shipped
Your package with tracking ID 232892 has been shipped.,Transactional,your package with tracking id 232892 has been shipped
Your package with tracking ID 207428 has been shipped.,Transactional,your package with tracking id 207428 has been shipped
Your transaction ID is TXN512369. Please keep it for your records.,Transactional,your transaction id is txn512369 please keep it for your records
Your transaction ID is TXN374768. Please keep it for your records.,Transactional,your transaction id is txn374768 please keep it for your records
Your payment of ₹1499 was successful.,Transactional,your payment of 1499 was successful
Your payment of ₹6254 was successful.,Transactional,your payment of 6254 was successful
Your transaction ID is TXN150392. Please keep it for your records.,Transactional,your transaction id is txn150392 please keep it for your records
Your OTP is 719388. Do not share it with anyone.,Transactional,your otp is 719388 do not share it with anyone
Your package is waiting. Pay delivery fees at https://confirm-payee.click,Spam,your package is waiting pay delivery fees at httpsconfirmpayeeclick
Confirm your payment details: https://iphone14winner.com,Spam,confirm your payment details httpsiphone14winnercom
Your package with tracking ID 608798 has been shipped.,Transactional,your package with tracking id 608798 has been shipped
Your package with tracking ID 813475 has been shipped.,Transactional,your package with tracking id 813475 has been shipped
Your payment of ₹3052 was successful.,Transactional,your payment of 3052 was successful
Your OTP is 627864. Do not share it with anyone.,Transactional,your otp is 627864 do not share it with anyone
Your OTP is 694640. Do not share it with anyone.,Transactional,your otp is 694640 do not share it with anyone
Your payment of ₹3000 was successful.,Transactional,your payment of 3000 was successful
Your transaction ID is TXN608321. Please keep it for your records.,Transactional,your transaction id is txn608321 please keep it for your records
Your package with tracking ID 848002 has been shipped.,Transactional,your package with tracking id 848002 has been shipped
Your package with tracking ID 583897 has been shipped.,Transactional,your package with tracking id 583897 has been shipped
Your transaction ID is TXN710827. Please keep it for your records.,Transactional,your transaction id is txn710827 please keep it for your records
Your payment of ₹4042 was successful.,Transactional,your payment of 4042 was successful
Click here to win an iPhone: https://confirm-payee.click,Spam,click here to win an iphone httpsconfirmpayeeclick
Your package with tracking ID 369077 has been shipped.,Transactional,your package with tracking id 369077 has been shipped
Your package with tracking ID 574367 has been shipped.,Transactional,your package with tracking id 574367 has been shipped
Your payment of ₹3403 was successful.,Transactional,your payment of 3403 was successful
Your transaction ID is TXN167422. Please keep it for your records.,Transactional,your transaction id is txn167422 please keep it for your records
Your transaction ID is TXN772351. Please keep it for your records.,Transactional,your transaction id is txn772351 please keep it for your records
Your transaction ID is TXN614963. Please keep it for your records.,Transactional,your transaction id is txn614963 please keep it for your records
Your payment of ₹8299 was successful.,Transactional,your payment of 8299 was successful
Your payment of ₹2550 was successful.,Transactional,your payment of 2550 was successful
Your payment of ₹5103 was successful.,Transactional,your payment of 5103 was successful
Your OTP is 492548. Do not share it with anyone.,Transactional,your otp is 492548 do not share it with anyone
Your transaction ID is TXN940892. Please keep it for your records.,Transactional,your transaction id is txn940892 please keep it for your records
Find your perfect gift at https://www.officialstore.com,Promotional,find your perfect gift at httpswwwofficialstorecom
Your transaction ID is TXN198789. Please keep it for your records.,Transactional,your transaction id is txn198789 please keep it for your records
Your payment of ₹3575 was successful.,Transactional,your payment of 3575 was successful
Your payment of ₹5789 was successful.,Transactional,your payment of 5789 was successful
Limited time offer! Visit https://bluedart.com/track to grab your discount,Promotional,limited time offer visit httpsbluedartcomtrack to grab your discount
Your package with tracking ID 159623 has been shipped.,Transactional,your package with tracking id 159623 has been shipped
Your OTP is 238128. Do not share it with anyone.,Transactional,your otp is 238128 do not share it with anyone
Your OTP is 413443. Do not share it with anyone.,Transactional,your otp is 413443 do not share it with anyone
Your package with tracking ID 200364 has been shipped.,Transactional,your package with tracking id 200364 has been shipped
Your payment of ₹5263 was successful.,Transactional,your payment of 5263 was successful
Your OTP is 288782. Do not share it with anyone.,Transactional,your otp is 288782 do not share it with anyone
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam,urgent your account will be blocked verify at httpsconfirmpayeeclick
Your OTP is 299179. Do not share it with anyone.,Transactional,your otp is 299179 do not share it with anyone
Your transaction ID is TXN920131. Please keep it for your records.,Transactional,your transaction id is txn920131 please keep it for your records
Your package with tracking ID 351500 has been shipped.,Transactional,your package with tracking id 351500 has been shipped
